ID|Corporation Name|Month Of Contribution|Due Date|Date Filed|Amount|Status|Reduced|Order Signed|Date Paid|Interest Paid
1312|Rail Car Nebraska|October|11/10/1998|02/24/1999|$300.00|REDUCED|$10.00|03/09/1999|03/09/1999|
1313|Five Points Bank|August|09/10/1998|02/26/1999|$300.00|RED/PAID|$20.00|04/01/1999|04/01/1999|
1316|Wunderlich Friendly Bar, Inc.|January|02/10/1999|02/26/1999|$160.00|REDUCED|$0.00|03/25/1999||
1317|Asbestos Workers Local #39|October|11/10/1998|03/03/1999|$300.00|RED/PAID|$10.00|03/30/1999|03/30/1999|
1318|Wauneta Telephone Company, Inc.|September|10/10/1998|03/04/1999|$300.00|REDUCED|$0.00|03/25/1999||
1319|IBP, Inc.|November|12/10/1998|03/01/1999|$300.00|PAID|||03/23/1999|
1320|Corner Shop, Inc.|January|02/10/1999|03/01/1999|$190.00|REDUCED|$0.00|03/25/1999||
1321|Blum's Auto Repair, Inc.|January|02/10/1999|03/05/1999|$230.00|RED/PAID|$10.00|04/20/1999|04/20/1999|
1322|BWTelecom, Inc. (Benkelman Telephone)|September|10/10/1998|03/04/1999|$300.00|REDUCED|$0.00|03/25/1999||
1324|Quality Snapshots, Inc. d/b/a Camera Concepts|December|01/10/1999|03/02/1999|$300.00|REDUCED|$0.00|03/16/1999||
1325|Hartington Telecommunications Company, Inc.|September|10/10/1998|03/05/1999|$300.00|REDUCED|$0.00|03/16/1999||
1326|T.O. Haas Tire Company, Inc.|September|10/10/1998|03/04/1999|$300.00|RED/PAID|$20.00|||
1327|Ainsworth Education Association|September|10/10/1998|03/01/1999|$300.00|REDUCED|$0.00|03/16/1999||
1328|Clark J. Grant, P.C.|January|02/10/1999|02/22/1999|$120.00|REDUCED|$0.00|03/09/1999||
1329|Gene Lilly Surety Bonds|October|11/10/1998|02/23/1999|$300.00|REDUCED|$0.00|03/09/1999||
1330|Pete Becker, Inc.|September|10/10/1998|02/22/1999|$300.00|REDUCED|$0.00|03/09/1999||
1332|Omaha Police Union Local 101|February|03/10/1999|03/12/1999|$20.00|PAID|||05/11/1999|
1333|Midstates Construction Products, Inc.|April|05/10/1998|03/11/1999|$300.00|REDUCED|$0.00|03/23/1999||
1334|Herbert Development, Inc.|November|12/10/1998|03/12/1999|$300.00|REDUCED|$0.00|03/23/1999||
1335|Union Pacific Railroad|January|03/10/1999|03/11/1999|$10.00|REDUCED|$0.00|03/23/1999||
1336|Brotherhood of Locomotive Engineers PAC Fund|February|03/10/1999|03/15/1999|$50.00|REDUCED|$0.00|04/08/1999||
1337|Steamfitters Local Union 464 C.O.P.E. Fund|February|03/10/1999|03/17/1999|$70.00|PAID|||04/14/1999|
1338|American Communications Group, Inc.|February|03/10/1999|03/11/1999|$10.00|PAID|||04/16/1999|
1339|Hampton Development Services, Inc.|January|02/10/1998|03/15/1999|$300.00|REDUCED|$0.00|03/31/1999||
1340|Hampton Development Services, Inc.|March|04/10/1998|03/15/1999|$300.00|REDUCED|$0.00|03/31/1999||
1341|Hampton Development Services, Inc.|May|06/10/1998|03/15/1999|$300.00|REDUCED|$70.00|03/31/1999|03/31/1999|
1342|I A M A W Local Lodge 612|February|03/10/1999|03/15/1999|$50.00|REDUCED|$0.00|03/25/1999||
1343|Bennington Keno, Inc. d/b/a Keno Cabana|October|11/10/1998|03/18/1999|$300.00|REDUCED|$0.00|03/25/1999||
1344|T.O. Haas Tire Co., Inc.|September|10/10/1998|03/04/1999|$300.00|RED/PAID|$20.00|03/25/1999|03/25/1999|
1345|Architectural Partnership, P.C.|February|03/10/1999|03/24/1999|$140.00|REDUCED|$0.00|04/13/1999||
1346|Pfizer, Inc.|March|04/10/1998|03/22/1999|$300.00|RED/PAID|$10.00|04/21/1999|04/21/1999|
1347|Security Termite Inspections, Inc.|August|09/10/1998|03/24/1999|$300.00|Reduced|$0.00|04/06/1999||
1348|S & M, Inc.|February|03/10/1999|03/26/1999|$160.00|Reduced|$0.00|04/06/1999||
1349|MindVision, Inc.  d/b/a MindVision Software|January|02/10/1999|03/24/1999|$300.00|Reduced|$0.00|04/06/1999||
1350|Huscroft's Preffered Auto Body, Inc.|February|03/10/1998|03/22/1999|$300.00|Reduced|$0.00|04/06/1999||
1351|R. D. Hinkley & Associates, Inc.|September|10/10/1998|03/23/1999|$300.00|Reduced|$0.00|04/06/1999||
1352|Guns Unlimited, Inc.|July|08/10/1998|03/22/1999|$300.00|Reduced|$0.00|04/06/1999||
1353|Green Furnace & Plumbing Company, Inc.|February|03/10/1999|03/25/1999|$150.00|Reduced|$0.00|04/06/1999||
1354|Chances R, Inc.|October|11/10/1998|03/26/1999|$300.00|Reduced|$0.00|04/06/1999||
1355|Asbestos Removers, Inc.|January|02/10/1999|03/22/1999|$300.00|Reduced|$0.00|04/06/1999||
1357|Scotty's Drive In, Inc.|October|11/10/1998|04/01/1999|$300.00|REDUCED|$0.00|04/15/1999||
1358|Nebraska State Grange|September|10/10/1998|04/01/1999|$30.00|REDUCED|$0.00|04/15/1999||
1359|Journal Broadcasting Group, Inc.|October|11/10/1998|04/02/1999|$300.00|REDUCED|$0.00|04/15/1999||
1360|Fraternal Order of Police Lodge #36|October|11/10/1998|03/29/1999|$300.00|REDUCED|$0.00|04/15/1999||
1361|Farmers & Merchants Investment, Inc.|December|01/10/1999|03/30/1999|$300.00|REDUCED|$0.00|04/15/1999||
1362|Eakes, Inc.|April|05/10/1998|03/31/1999|$300.00|REDUCED|$0.00|04/15/1999||
1363|American Security Services|August|04/12/1999|04/16/1999|$40.00|REDUCED|$0.00|04/26/1999||
1366|Truck Services, Inc.|January|04/12/1999|04/16/1999|$40.00|REDUCED|$0.00|05/11/1999||
1368|Nebraska Retail Federation|February|03/10/1998|04/12/1999|$300.00|Reduced|$0.00|05/12/1999||
1369|Nebraska Retail Federation|March|04/10/1998|04/12/1999|$300.00|Reduced|$0.00|05/12/1999||
1370|Nebraska Retail Federation|September|10/10/1998|04/12/1999|$300.00|Reduced|$0.00|05/12/1999||
1371|Nebraska Retail Federation|December|01/10/1999|04/12/1999|$300.00|Reduced|$0.00|05/12/1999||
1372|Spence Title Services, Inc.|October|11/10/1998|04/19/1999|$300.00|RED/PAID|$10.00|05/05/1999|05/05/1999|
1373|Umberger Refuse, Inc.|March|04/12/1999|04/20/1999|$80.00|REDUCED|$0.00|06/01/1999||
1374|Huntel Systems, Inc.|August|09/10/1998|04/13/1999|$300.00|PAID|||05/13/1999|
1375|Nebraska Blueprint Company, Inc|November|12/10/1998|05/03/1999|$300.00|REDUCED|$0.00|05/18/1999||
1376|Ameritas Life Insurance|September|10/13/1998|11/02/1998|$200.00|REDUCED|$0.00|05/25/1999||
1377|Communications Workers of America Local 7470|February|03/10/1998|04/06/1999|$300.00|REDUCED|$0.00|05/25/1999||
1378|The Lund Company|November|12/10/1998|06/01/1999|$300.00|PAID|||06/01/1999|
1379|Seldin Company|April|05/10/1999|05/19/1999|$90.00|REDUCED|$0.00|06/02/1999||
1380|Omnium Worldwide, Inc.|August|09/10/1997|05/17/1999|$300.00|PAID|||06/17/1999|
1382|Strictly Business Magazine|April|05/10/1999|05/17/1999|$70.00|RED/PAID|$10.00|06/18/1999|06/18/1999|
1383|21st Century Financial Group|April|05/10/1998|05/18/1999|$300.00|REDUCED|$0.00|09/13/1999||
1384|Aliant Communications|March|04/12/1999|05/17/1999|$300.00|PAID|||06/18/1999|
1385|Aliant Communications|April|05/10/1999|05/17/1999|$70.00|PAID|||06/18/1999|
1386|Consolidated Sign Service|September|10/10/1997|05/18/1999|$300.00|RED/PAID|$10.00|06/18/1999|06/15/1999|
1387|Cummins Great Plains|August|09/10/1997|05/19/1999|$300.00|RED/PAID|$10.00|06/18/1999|06/18/1999|
1388|Development & Equity Services Corporation|September|10/10/1998|05/19/1999|$300.00|REDUCED|$0.00|06/08/1999||
1389|Eggers Consulting Company, Inc.|April|05/10/1999|05/18/1999|$80.00|REDUCED|$0.00|06/09/1999||
1390|Eggers Consulting Company, Inc.|April|05/10/1998|05/18/1999|$300.00|REDUCED|$0.00|06/09/1999||
1391|Lanoha Pacific Development, Inc.|September|10/10/1998|05/20/1999|$300.00|REDUCED|$0.00|06/08/1999||
1392|Lanoha Development, Inc.|September|10/10/1998|05/20/1999|$300.00|REDUCED|$0.00|06/08/1999||
1393|Omaha Neon Sign Company, Inc.|September|10/10/1997|05/18/1999|$300.00|REDUCED|$0.00|06/08/1999||
1394|Great Plains Communications|April|05/10/1999|05/13/1999|$30.00|PAID|||06/18/1999|
1396|United Retailers Liquor Association of Nebraska|April|05/10/1999|05/11/1999|$10.00|REDUCED|$0.00|08/10/1999||
1397|T.O. Haas Tire Company|March|04/10/1999|05/18/1999|$70.00|PAID|||06/17/1999|
1398|Birchwood Homes, Inc.|October|11/10/1996|05/12/1999|$300.00|REDUCED|$0.00|06/09/1999||
1399|Eggers Consulting Company, Inc.|April|05/10/1999|05/18/1999|$80.00|REDUCED|$0.00|06/09/1999||
1400|Eggers Consulting Company, Inc|April|05/10/1998|05/18/1999|$300.00|REDUCED|$0.00|06/09/1999||
1401|Soda Crackers, Inc.|May|06/10/1998|05/11/1999|$300.00|REDUCED|$0.00|06/09/1999||
1402|Soda1 Crackers, Inc.|October|11/10/1998|05/11/1999|$300.00|REDUCED|$0.00|06/09/1999||
1403|Jenny Foundation, The|January|02/10/1998|05/12/1999|$300.00|REDUCED|$0.00|06/09/1999||
1406|DLR Group Services|January|05/10/1998|05/27/1999|$300.00|PAID|||06/30/1999|
1407|Cinnamon Creek Land Corporation|March|04/10/1998|05/28/1999|$300.00|REDUCED|$0.00|06/16/1999||
1408|Americans for Sound Public Policy|April|05/10/1999|05/26/1999|$160.00|PAID|||06/28/1999|
1409|Sartor Hamann|April|05/10/1999|06/02/1999|$230.00|REDUCED|$0.00|06/22/1999||
1410|Prairie Home Builders, Inc.|January|02/10/1999|06/10/1999|$300.00|REDUCED|$0.00|06/18/1999||
1411|Prairie Hills Neighborhood Association|March|04/12/1999|06/07/1999|$300.00|REDUCED|$0.00|06/18/1999||
1412|John Markel, Inc.|April|05/10/1998|06/11/1999|$300.00|REDUCED|$0.00|06/18/1999||
1413|Carol Corp d/b/a Hillaero Modification Center|March|04/12/1999|06/09/1999|$300.00|REDUCED|$0.00|06/18/1999||
1414|Carol Corp d/b/a Hillaero Modification Center|April|05/10/1999|06/09/1999|$300.00|REDUCED|$0.00|06/18/1999||
1415|Applied Communications, Inc.|August|09/10/1997|06/07/1999|$300.00|REDUCED|$0.00|06/18/1999||
1416|Wilkinson Manufacturing Company|September|10/10/1998|06/10/1999|$300.00|RED/PAID|$10.00|07/06/1999|07/06/1999|
1417|Jensen Tire Company|April|05/10/1999|06/07/1999|$280.00|REDUCED|$0.00|06/22/1999||
1418|Management One|January|02/10/1999|06/03/1999|$300.00|REDUCED|$0.00|06/16/1999||
1419|Fulton Contruction|January|02/10/1999|06/08/1999|$300.00|REDUCED|$0.00|06/22/1999||
1420|Fulton Construction|March|04/12/1999|06/08/1999|$300.00|REDUCED|$0.00|06/22/1999||
1421|Fulton Construction|April|05/10/1999|06/08/1999|$290.00|REDUCED|$0.00|06/22/1999||
1422|Aliant Communications|April|05/10/1999|05/14/1999|$40.00|PAID|||06/18/1999|
1423|Perry Associates, Inc.|March|04/12/1999|06/15/1999|$300.00|REDUCED|$0.00|06/29/1999||
1424|Perry Associates, Inc.|April|05/10/1999|06/15/1999|$300.00|REDUCED|$0.00|06/29/1999||
1425|Ridge Development Company|March|04/10/1998|04/07/1999|$300.00|RED/PAID|$30.00|07/14/1999|07/14/1999|
1426|Kelley, Lehan & Hall, PC|January|05/10/1999|05/11/1999|$10.00|PAID|||07/07/1999|
1427|Precision Industries, Inc.|September|10/10/1997|06/24/1999|$300.00|REDUCED|$0.00|07/06/1999||
1428|Cubby's Inc.|September|10/10/1998|06/22/1999|$300.00|REDUCED|$0.00|07/02/1999||
1429|Barnhart Press|January|02/10/1999|06/25/1999|$300.00|PAID|$10.00|07/21/1999||
1430|C L Enterprises, Inc.|December|01/10/1999|06/24/1999|$300.00|REDUCED|$0.00|08/10/1999||
1431|Donald Young Safaris, Inc.|April|05/10/1999|06/23/1999|$300.00|REDUCED|$0.00|08/10/1999||
1432|Rail Car Nebraska|September|09/10/1998|06/23/1999|$300.00|REDUCED|$0.00|03/09/1999|03/09/1999|
1433|Bozell Worldwide|January|02/10/1998|07/08/1999|$300.00|PAID|||08/18/1999|
1434|McGregor Interests|December|01/10/1999|06/29/1999|$300.00|RED/PAID|$20.00|08/18/1999|08/18/1999|
1435|Barry Larson & Son, Inc.|December|01/10/1999|06/29/1999|$300.00|REDUCED|$0.00|08/10/1999||
1436|Bailey Lauerman & Associates|June|07/12/1999|07/15/1999|$30.00|REDUCED|$0.00|08/10/1999||
1437|Bailey Lauerman & Associates|May|06/10/1999|07/15/1999|$300.00|REDUCED|$0.00|08/10/1999||
1440|Caseyco, Inc.|April|05/10/1999|07/20/1999|$300.00|REDUCED|$0.00|08/10/1999||
1441|Inacom Corp.|October|11/10/1998|07/23/1999|$300.00|PAID|||08/19/1999|
1442|Nebraska Furniture Mart|April|05/10/1999|07/22/1999|$300.00|REDUCED|$0.00|08/10/1999||
1443|Nebraska Wine & Spirits, Inc.|February|03/10/1999|07/21/1999|$300.00|REDUCED|$0.00|08/10/1999||
1444|Larry Price & Associates, Inc.|February|03/10/1999|07/19/1999|$300.00|REDUCED|$0.00|08/10/1999||
1445|Sinclair Hille & Associates|January|05/10/1999|07/20/1999|$300.00|REDUCED|$0.00|08/10/1999||
1446|Utilicorp United|March|04/12/1999|07/22/1999|$300.00|PAID|||08/30/1999|
1447|Kelley, Lehan & Hall, PC|January|05/10/1999|05/11/1999|$10.00|PAID|||07/07/1999|
1448|RDG Schutte Wilscam Birge|January|06/10/1999|07/29/1999|$300.00|PAID|||07/29/1999|
1449|A -R Advertising|November|12/10/1998|08/03/1999|$300.00|REDUCED|$0.00|08/23/1999||
1450|Associoated General Contractors|March|04/12/1999|08/04/1999|$300.00|REDUCED|$0.00|08/23/1999||
1451|United Forwarding|August|09/10/1998|08/12/1999|$300.00|REDUCED|$0.00|08/23/1999||
1452|Anderson Motors, Inc.|January|02/10/1999|08/13/1999|$300.00|REDUCED|$0.00|08/26/1999||
1453|IBP|January|02/10/1999|08/09/1999|$300.00|REDUCED|$0.00|08/26/1999||
1454|Sand Livestock Systems|February|03/10/1999|08/09/1999|$300.00|PAID|||08/26/1999|
1455|Blackman Business Systems|September|10/10/1998|09/02/1999|$300.00|RED/PAID|$10.00|09/29/1999|09/28/1999|
1456|GWR Financial, Inc.|December|01/10/1999|09/03/1999|$300.00|REDUCED|$0.00|09/23/1999||
1457|Lincoln Association of Plumbing, Heating & Cooling Contractors|April|05/10/1999|08/31/1999|$300.00|REDUCED|$0.00|09/23/1999||
1458|Zaiss & Company|November|12/10/1998|09/02/1999|$300.00|RED/PAID|$10.00|09/29/1999|09/28/1999|
1460|Fay Air|October|11/10/1998|09/10/1999|$300.00|PAID|||09/28/1999|
1461|BryanLGH Medical Center|August|09/10/1999|09/17/1999|$175.00|REDUCED|$0.00|09/24/1999||
1462|R.C. Krueger Development, Inc.|August|09/10/1999|09/16/1999|$150.00|RED/PAID|$20.00|09/24/1999||
1463|Osborn, T.J. Construction, Inc.|August|09/10/1999|09/16/1999|$150.00|RED/PAID|$25.00|09/29/1999|09/28/1999|
1464|Piedmont Construction Company, Inc.|August|09/10/1999|09/15/1999|$125.00|REDUCED|$0.00|09/24/1999||
1465|Ridge Development Company|August|09/10/1999|09/17/1999|$175.00|PAID|||10/07/1999|
1466|DCM|October|11/10/1998|09/13/1999|$300.00|REDUCED|$0.00|12/15/1999||
1467|Floors, Inc.|August|09/10/1999|09/14/1999|$100.00|REDUCED|$0.00|09/29/1999||
1468|Green Furnace & Plumbing Company, Inc.|August|09/10/1999|09/15/1999|$125.00|RED/PAID|$25.00|10/01/1999|10/01/1999|
1469|INSPRO, Inc.|August|09/10/1999|09/15/1999|$125.00|REDUCED|$0.00|09/29/1999||
1470|Professional Business Products, Inc.|August|09/10/1999|09/16/1999|$150.00|REDUCED|$0.00|11/03/1999||
1471|Evans, Lipka & Associates, Inc.|March|04/12/1999|09/20/1999|$300.00|REDUCED|$0.00|10/04/1999||
1473|IBP, Inc.|October|11/10/1998|09/13/1999|$300.00|PAID|||09/13/1999|
1474|Omaha Police Union Local 101|January|10/10/1999|10/29/1999|$425.00|PAID|||11/24/1999|
1478|DuTeau Chevrolet Company|September|10/12/1999|10/15/1999|$75.00|PAID|||01/11/2000|
1481|Kirkpatrick, Pettis, Smith & Polian, Inc.|October|11/10/1998|10/14/1999|$300.00|PAID|||10/14/1999|
1485|The Benefit Group|April|05/10/1998|11/18/1999|$300.00|PAID|||12/22/1999|
1486|Weathercraft Company of Lincoln|October|11/10/1999|11/24/1999|$350.00|REDUCED|$0.00|12/15/1999||
1488|Cornhusker Bank|September|10/11/1999|11/23/1999|$750.00|PAID|||12/27/1999|
1489|Chief Industries, Inc.|December|01/10/1998|08/23/1999|$300.00|REDUCED|$0.00|12/16/1999||
1490|Kawasaki Motors Manufacturing Corporation, USA|September|10/11/1999|11/30/1999|$750.00|REDUCED|$0.00|01/10/2000||
1492|United Airlines|October|11/10/1999|11/29/1999|$475.00|REDUCED|$0.00|12/17/1999||
1494|Saint Elizabeth Regional Medical Center|September|10/11/1999|11/29/1999|$750.00|REDUCED|$0.00|12/17/1999||
1495|Journal Star Printing Company|October|11/10/1999|11/24/1999|$350.00|PAID|||01/13/2000|
1496|Union Bank & Trust |January|11/10/1999|11/18/1999|$200.00|PAID|||01/13/2000|
1497|Lincoln Benefit Life Company|October|11/10/1999|01/03/2000|$750.00|PAID|||01/03/2000|
1498|Park Place Pontiac, Cadillac, GMC, Inc.|November|12/10/1999|12/27/1999|$425.00|REDUCED|$0.00|02/23/2000||
1499|First National Bank of Scottsbluff|October|11/10/1999|01/06/2000|$750.00|REDUCED|$0.00|01/19/2000||
1501|Twin Cities Development Association|September|10/12/1999|01/04/2000|$750.00|RED/PAID|$25.00|02/23/2000|02/23/2000|
1503|U.S. Bank National Association|October|11/10/1999|01/06/2000|$750.00|REDUCED|$0.00|01/19/2000||
1504|Valley Bank & Trust Company|January|08/10/1999|01/12/2000|$300.00|REDUCED|$0.00|02/08/2000||
1505|Cox Communications|December|01/10/2000|01/12/2000|$50.00|REDUCED|$0.00|11/08/2000||
1506|Sykes Enterprises, Inc.|October|11/10/1999|01/20/2000|$750.00|REDUCED|$0.00|02/08/2000||
1507|Orcom Solutions, Inc.|November|12/10/1999|01/21/2000|$750.00|REDUCED|$0.00|02/08/2000||
1508|Lincoln Surgical Group|January|08/10/1999|01/21/2000|$300.00|REDUCED|$0.00|02/08/2000||
1509|Jenny Foundation|March|04/10/1999|01/28/2000|$300.00|RED/PAID|$10.00|02/16/2000|02/16/2000|
1510|Van Steenberg Law Firm|September|10/10/1999|01/27/2000|$750.00|REDUCED|$0.00|02/11/2000||
1512|Miller Brewing Company|December|01/10/2000|01/31/2000|$525.00|REDUCED|$0.00|02/23/2000||
1513|Lueder Construction Company|December|01/10/2000|02/01/2000|$550.00|RED/PAID|$25.00|03/14/2000|03/14/2000|
1514|Clawson Associates, P.C.|April|05/10/1999|02/07/2000|$300.00|REDUCED|$0.00|02/23/2000||
1515|Clawson Associates, P.C.|June|07/10/1999|02/10/2000|$300.00|REDUCED|$0.00|02/23/2000||
1517|Dave Janke Plumbing Co., Inc.|January|10/10/1999|02/16/2000|$750.00|REDUCED|$0.00|03/08/2000||
1518|Cubby's, Inc.|April|05/10/1999|02/24/2000|$300.00|RED/PAID|$25.00|03/07/2000|03/07/2000|
1519|Darland Corporation|March|04/10/1999|02/23/2000|$300.00|REDUCED|$0.00|03/02/2000||
1520|Cizek Homes|April|05/10/1999|02/22/2000|$300.00|REDUCED|$0.00|03/02/2000||
1521|Leo A. Daly Company|April|05/10/1999|02/25/2000|$300.00|REDUCED|$0.00|03/02/2000||
1522|Valmont Industries, Inc.|April|05/10/1999|02/24/2000|$300.00|PAID|||05/26/2000|
1523|Vann Realty Company|April|05/10/1999|02/22/2000|$300.00|RED/PAID|$25.00|03/07/2000|03/07/2000|
1524|Vann Realty Company|August|09/10/1999|02/22/2000|$750.00|RED/PAID|$25.00|03/07/2000|03/07/2000|
1525|BHI Investment Company|April|05/10/1999|02/25/2000|$300.00|REDUCED|$0.00|03/02/2000||
1526|MidAmerican Energy Holdings Company|October|11/10/2000|02/03/2000|$750.00|REDUCED|$0.00|03/10/2000||
1527|Modern Equipment Company|June|07/10/1999|02/27/2000|$300.00|REDUCED|$0.00|03/15/2000||
1528|Simmonds Restaurant Management, Inc.|May|05/10/1999|03/03/2000|$300.00|REDUCED|$0.00|03/15/2000||
1529|First Commerce Bancshares, Inc.|October|11/10/1999|03/16/2000|$750.00|PAID|||03/16/2000|
1530|Utilicorp United|June|07/10/1999|02/28/2000|$300.00|PAID|||04/24/2000|
1531|PSI Group, Inc.|April|05/10/1999|03/06/2000|$300.00|REDUCED|$0.00|03/20/2000||
1532|PFP Marketing Company|December|01/10/2000|03/06/2000|$750.00|REDUCED|$0.00|03/20/2000||
1533|Mid-Beatrice Development, Inc.|September|10/10/1999|03/09/2000|$750.00|REDUCED|$0.00|03/20/2000||
1534|MCI WorldCom, Inc.|November|12/10/1999|03/09/2000|$750.00|REDUCED|$0.00|03/20/2000||
1535|Kraft Foods, Inc.|November|12/10/1999|03/08/2000|$750.00|REDUCED|$0.00|03/20/2000||
1536|Kraft Foods, Inc.|December|01/10/2000|03/08/2000|$750.00|REDUCED|$0.00|03/20/2000||
1537|Hoich Enterprises, Inc.|April|05/10/1999|03/08/2000|$300.00|REDUCED|$0.00|03/20/2000||
1538|Wilkinson Development, Inc.|February|03/10/2000|03/17/2000|$175.00|REDUCED|$0.00|03/27/2000||
1539|Tenaska|February|03/10/2000|03/16/2000|$150.00|PAID|||03/31/2000|
1540|S S F Resources|February|03/10/2000|03/13/2000|$75.00|REDUCED|$0.00|04/05/2000||
1542|Complete Eye Care Associates|February|03/10/2000|03/13/2000|$75.00|REDUCED|$0.00|04/05/2000||
1543|Mega Corporation, The|December|01/10/1999|03/14/2000|$300.00|RED/PAID|$10.00|04/05/2000|04/03/2000|
1544|Utilicorp United|October|11/10/1999|03/20/2000|$750.00|PAID|||04/24/2000|
1545|Liberty Title & Escrow, Inc.|November|12/10/1999|03/22/2000|$750.00|REDUCED|$0.00|04/19/2000||
1546|Mundy & Associates, Inc.|October|09/10/1999|04/05/2000|$750.00|PAID|$25.00|05/02/2000|05/01/2000|
1547|American Title Services, Inc.|November|12/10/1999|04/07/2000|$750.00|REDUCED|$0.00|04/25/2000||
1548|United Airlines|November|12/10/1998|03/29/2000|$300.00|RED/PAID|$10.00|05/15/2000|05/15/2000|
1549|PennField oil Company|January|02/10/1999|03/29/2000|$300.00|PAID|||06/19/2000|
1553|Lease Team, Inc.|March|04/10/2000|04/13/2000|$75.00|REDUCED|$0.00|05/11/2000||
1554|North Platte Chamber of Commerce|February|03/10/2000|04/10/2000|$750.00|PAID||04/25/2000|08/17/2000|
1555|Simpson Supply, Inc.|December|01/10/1999|04/14/2000|$300.00|REDUCED|$0.00|04/25/2000||
1556|Swartzbaugh, Farber & Associates|March|04/10/2000|04/14/2000|$100.00|REDUCED|$0.00|05/11/2000||
1557|Terry McGill, Inc.|March|04/10/2000|04/13/2000|$75.00|REDUCED|$0.00|05/11/2000||
1558|Central States Health & Life|March|04/10/2000|04/18/2000|$200.00|REDUCED|$0.00|05/25/2000||
1559|Home Instead|February|03/10/2000|04/18/2000|$750.00|REDUCED|$0.00|05/25/2000||
1561|Kirkpatrick Pettis|March|04/10/2000|04/19/2000|$225.00|PAID|||06/01/2000|
1562|Millard Lumber, Inc.|March|04/10/2000|04/19/2000|$225.00|REDUCED|$0.00|05/09/2000||
1563|World of Wheels|March|04/10/2000|04/19/2000|$225.00|REDUCED|$0.00|05/25/2000||
1564|Great Plains Communications|August|09/10/1999|04/25/2000|$750.00|PAID|||05/18/2000|
1565|American Communications Group, Inc.|August|09/10/1999|04/25/2000|$750.00|PAID|||05/12/2000|
1566|Archer Daniels Midland Company|July|08/10/1999|05/09/2000|$300.00|PAID|||05/09/2000|
1567|Millard Drywall Services|March|04/10/2000|05/05/2000|$625.00|REDUCED|$0.00|05/23/2000||
1568|Trotter, Inc.|February|03/10/2000|05/10/2000|$750.00|REDUCED|$0.00|05/23/2000||
1569|Omaha Police Union Local 101|January|04/10/2000|05/08/2000|$700.00|RED/PAID|$200.00||08/17/2000|
1570|U.S Bank National Association - Scottsbluff|April|05/10/2000|05/15/2000|$125.00|RED/PAID|$25.00|06/26/2000|06/26/2000|
1571|McGrath, North, Mullin Law Firm|April|05/10/2000|05/17/2000|$175.00|PAID|||05/31/2000|
1572|HDM Corporation|April|05/10/2000|05/18/2000|$200.00|REDUCED|$0.00|05/25/2000||
1574|Allstate Insurance Company|June|07/10/1998|06/09/2000|$300.00|REDUCED|$0.00|06/26/2000||
1576|The Day Companies, Inc.|April|05/10/2000|06/15/2000|$750.00|RED/PAID|$25.00|06/29/2000|06/29/2000|
1577|The Day Companies, Inc.|January|02/10/2000|06/15/2000|$750.00|REDUCED|$0.00|06/29/2000||
1578|The Day Companies, Inc.|March|04/10/2000|06/15/2000|$750.00|REDUCED|$0.00|06/29/2000||
1579|The Day Companies, Inc.|February|03/10/2000|06/15/2000|$750.00|REDUCED|$0.00|06/29/2000||
1580|Francis J. Cavlovic, D.D.S., PC|April|05/10/2000|05/22/2000|$300.00|REDUCED|$0.00|06/07/2000||
1581|Election Systems & Software|March|04/10/2000|06/07/2000|$750.00|REDUCED|$0.00|06/19/2000||
1582|Progress West Corporation|April|05/10/2000|05/23/2000|$325.00|REDUCED|$0.00|06/19/2000||
1583|Werner Enterprises, Inc.|February|03/10/2000|05/23/2000|$750.00|REDUCED|$0.00|06/22/2000||
1584|Werner Enterprises, Inc.|April|05/10/2000|05/23/2000|$325.00|PAID|||06/22/2000|
1585|U Save Foods|April|05/10/2000|05/22/2000|$300.00|REDUCED|$0.00|06/22/2000||
1586|Nebco, Inc.|March|04/10/2000|05/31/2000|$750.00|RED/PAID|$25.00|06/28/2000|06/28/2000|
1587|FPS Leadership Team|March|06/12/2000|06/14/2000|$50.00|REDUCED|$0.00|07/10/2000||
1588|First Nebraska Title and Escrow Company|May|06/12/2000|06/26/2000|$350.00|REDUCED|$0.00|07/10/2000||
1589|Trans/Mid-America, Inc.|January|02/10/2000|06/22/2000|$750.00|REDUCED|$0.00|07/10/2000||
1590|Grand Island Area Economic Development Corp.|May|06/12/2000|07/07/2000|$625.00|PAID|||08/17/2000|
1591|Greater Omaha Chamber of Commerce|May|06/12/2000|06/28/2000|$400.00|PAID|||08/01/2000|
1592|Johnson Controls, Inc.|April|05/10/2000|07/17/2000|$750.00|PAID|||07/17/2000|
1593|Erickson & Sederstrom, PC|May|06/12/2000|07/10/2000|$700.00|REDUCED|$0.00|07/24/2000||
1594|AAA Rents Incorporated|May|06/12/2000|07/13/2000|$750.00|REDUCED|$0.00|07/24/2000||
1595|Journal Broadcast Group, Inc.|March|04/10/2000|07/14/2000|$750.00|RED/PAID|$25.00|07/28/2000|07/28/2000|
1596|Metabolife International, Inc.|October|11/10/1999|07/13/2000|$750.00|PAID|||05/20/2002|
1597|Lawless Distributing Group|May|06/12/2000|07/12/2000|$750.00|REDUCED|$0.00|08/28/2000||
1598|Bahr, Vermeer, Haecker Atchitects|June|07/10/2000|07/18/2000|$200.00|REDUCED|$0.00|07/31/2000||
1599|Highway Motels of Nebraska Inc|June|07/10/2000|08/02/2000|$575.00|REDUCED|$0.00|08/21/2000||
