Contributor Name|Form B9 ID|Form ID|Recipient ID|Support/Oppose|Nature of Expenditure|Expenditure Date|Previous Total|Amount|Total|Description|Entry Date|Recipient Name
REPUBLICAN STATE LEADERSHIP COMMITTEE|14CFL005440|14CFL005708|13CAC01831|S|A|10/01/2014||10000|10000|NOT LISTED|11172014153343640|GWENN ASPEN FOR LEGISLATURE (DISSOLVED)
REPUBLICAN STATE LEADERSHIP COMMITTEE|14CFL005440|14CFL005709|13CAC01815|S|A|10/14/2014||1000|1000|NOT LISTED|1117201415342421710|JONI CRAIGHEAD FOR LEGISLATURE
REPUBLICAN STATE LEADERSHIP COMMITTEE|14CFL005440|14CFL005710|13CAC01826|S|A|10/14/2014||2000|2000|NOT LISTED|1117201415351221863|FRIENDS OF LINDSTROM
REPUBLICAN STATE LEADERSHIP COMMITTEE|14CFL005440|14CFL005711|14CAC01871|S|A|10/14/2014||4000|4000|NOT LISTED|1117201415355522004|SMOYER FOR NEBRASKA (LEGISLATURE 2014 AND LATER)
REPUBLICAN STATE LEADERSHIP COMMITTEE|14CFL005440|14CFL005712|13CAC01840|S|A|10/14/2014||5000|5000|NOT LISTED|1117201415364422184|MCCOLLISTER FOR LEGISLATURE
SERVICE EMPLOYEES INTERNATIONAL UNION- UNITED HEALTHCARE WORKERS WEST|18CFL006105|18CFL006106|18BQC00462|S|B|07/05/2018||19757.38|19757.38|NOT LISTED|0810201816485214052|INSURE THE GOOD LIFE
SERVICE EMPLOYEES INTERNATIONAL UNION- UNITED HEALTHCARE WORKERS WEST|18CFL006181|18CFL006182|18BQC00462|S|B|11/02/2018|19757.38|10793.59|30550.97|NOT LISTED|1210201816292915370|INSURE THE GOOD LIFE
TEAM SAM|08CFL002594|08CFL002595|08IRC00486|S|A|05/09/2008||35000|35000|none|052720081432117516|NAPS PAC  (NE ALLIANCE FOR THE PRIVATE SECTOR)
TEAM SAM|08CFL002693|08CFL002694|08IRC00486|S|A|07/07/2008|35000|500|35500|None|0721200810300215229|NAPS PAC  (NE ALLIANCE FOR THE PRIVATE SECTOR)
TEAM SAM|08CFL003246|08CFL003247|08IRC00486|S|A|10/22/2008|35500|30000|65500|none|1110200813482618746|NAPS PAC  (NE ALLIANCE FOR THE PRIVATE SECTOR)
TEAM SAM|08CFL003246|08CFL003248|08IRC00486|S|A|10/24/2008||2000|2000|none|1110200813492919466|NAPS PAC  (NE ALLIANCE FOR THE PRIVATE SECTOR)
TIDES FOUNDATION|08CFL002754|08CFL002755|08BQC00186|S|A|08/18/2008||25000|25000|None|082520081110056030|NEBRASKANS UNITED (DISSOLVED)
WOODBURY CORPORATION|10CFL004508|10CFL004509|09BQC00256|S|A|04/01/2010||40000|40000|None|0519201008124020913|CITIZENS FOR JOBS AND THE LINCOLN HAYMARKET ARENA(
WOODBURY CORPORATION|10CFL004511|10CFL004512|09BQC00256|S|A|05/24/2010|40000|5000|45000|None|0527201010322821949|CITIZENS FOR JOBS AND THE LINCOLN HAYMARKET ARENA(
