Committee Name|Committee ID|Date Received|Transaction Date|Amount|Type of Transaction|Description
BOB DICKEY FOR LEGISLATURE|99CAC00407|01/16/2002|01/08/2001|126|O|REFUND ON OVER CHARGE - KTCH WAYNE RADIO
BOB DICKEY FOR LEGISLATURE|99CAC00407|01/16/2002|01/31/2001|67.97|O|INTEREST ON CHECKING                    
BOB DICKEY FOR LEGISLATURE|99CAC00407|01/17/2001|11/30/2000|6.22|O|INTEREST, CHECKING ACCOUNT              
BOB DICKEY FOR LEGISLATURE|99CAC00407|01/17/2001|10/31/2000|24.92|O|INTEREST, COLERIDGE BANK                
BOB DICKEY FOR LEGISLATURE|99CAC00407|10/11/2000|08/22/2000|78.98|O|INTEREST - COOLRIDGE BANK               
BOB DICKEY FOR LEGISLATURE|99CAC00407|06/20/2000|05/30/2000|26.55|O|INTEREST COLERIDGE NATIONAL BANK        
BOB DICKEY FOR LEGISLATURE|99CAC00407|06/20/2000|04/30/2000|28.13|O|INTEREST COLERIDGE NATIONAL BANK        
BOB DICKEY FOR LEGISLATURE|99CAC00407|04/10/2000|03/28/2000|11.46|O|COLERIDGE NATIONAL BANK - INTEREST      
BOB DICKEY FOR LEGISLATURE|99CAC00407|04/10/2000|02/29/2000|8.09|O|COLERIDGE NATIONAL BANK - INTEREST      
BOB DICKEY FOR LEGISLATURE|99CAC00407|04/10/2000|01/31/2000|8.61|O|COLERIDGE NATIONAL BANK - INTEREST      
BOB DICKEY FOR LEGISLATURE|99CAC00407|01/28/2000|12/31/1999|6.82|C|INTEREST                                
BOB DICKEY FOR LEGISLATURE|99CAC00407|01/28/2000|11/30/1999|4.69|C|INTEREST                                
BOB DICKEY FOR LEGISLATURE|99CAC00407|01/28/2000|10/30/1999|4.52|C|INTEREST                                
BOB DICKEY FOR LEGISLATURE|99CAC00407|01/28/2000|09/30/1999|4.4|C|INTEREST                                
BOB DICKEY FOR LEGISLATURE|99CAC00407|01/28/2000|08/30/1999|4.57|C|INTEREST                                
BOB DICKEY FOR LEGISLATURE|99CAC00407|01/28/2000|07/30/1999|6.67|C|INTEREST                                
BOB DICKEY FOR LEGISLATURE|99CAC00407|01/28/2000|06/30/1999|8.37|C|INTEREST                                
BOB DICKEY FOR LEGISLATURE|99CAC00407|01/28/2000|05/30/1999|2.4|C|INTEREST                                
FERLIC FOR REGENT|99CAC00408|10/26/2006|10/11/2006|127|A|REFUND FROM ADVERTISING AND SUPPLY FOR W
HEIER FOR COUNTY COMMISSIONER|99CAC00410|05/07/2014|12/31/2013|435|A|Rerturned remaining funds to contributor
RAY AGUILAR FOR LEGISLATURE (DISSOLVED)|99CAC00411|01/22/2009|05/02/2008|114.35|A|Reimbursement for tuxedo rental in 2007
RAY AGUILAR FOR LEGISLATURE (DISSOLVED)|99CAC00411|01/28/2008|12/31/2007|1297.53|A|reimburse campaign account
RAY AGUILAR FOR LEGISLATURE (DISSOLVED)|99CAC00411|05/03/2004|01/01/1900|0|C|                                        
RAY AGUILAR FOR LEGISLATURE (DISSOLVED)|99CAC00411|04/13/2004|01/27/2004|500|C|DEDUCTION FROM SENATOR'S CHECKING ACCT  
RAY AGUILAR FOR LEGISLATURE (DISSOLVED)|99CAC00411|02/02/2004|01/27/2003|500|C|DEDUCTION FROM SENATOR'S ACCOUNT TO ADJU
RAY AGUILAR FOR LEGISLATURE (DISSOLVED)|99CAC00411|01/28/2003|02/25/2002|673.39|O|SEN. AGUILAR REIMBURSED CAMPAIGN ACCOUNT
RAY AGUILAR FOR LEGISLATURE (DISSOLVED)|99CAC00411|01/30/2002|10/15/2001|50|C|CHECK ERROR                             
RAY AGUILAR FOR LEGISLATURE (DISSOLVED)|99CAC00411|01/30/2002|01/12/2001|242.16|C|DUPLICATION OF CHECKS ADJUSTMENT        
MATTHEW L. MONTAG (DISSOLVED)|99CAC00416|02/01/2002|12/31/2002|226.48|C|RETURN OF CONTRIBUTION TO CANDIDATE     
VOTE NO ON DOMA COMMITTEE|99BQC00046|12/20/2000|11/20/2000|936|C|REFUND FROM ZAISS & CO FOR UNUSED MEDIA 
VOTE NO ON DOMA COMMITTEE|99BQC00046|12/20/2000|11/17/2000|200|C|UNUSED PETTY CASH RETURNED              
VOTE NO ON DOMA COMMITTEE|99BQC00046|12/20/2000|11/17/2000|250|C|SALE OF COMPUTER                        
VOTE NO TO SAVE LIVES|99BQC00048|02/19/2002|07/12/2001|738.67|O|REFUNDED TO LINCOLN FIREFIGHTERS ASSN 64
NE COALITION FOR THE PROTECTION OF MARRIAGE CORP.|99BQC00050|02/03/2004|05/28/2003|557.72|C|REFUND FROM POSTMASTER                  
ADAMS FOR MAYOR (DISSOLVED)|99CAC00509|12/20/2000|11/29/2000|1500|O|REFUND MONIES FROM ST OF NE A&D COMM REQ
ADAMS FOR MAYOR (DISSOLVED)|99CAC00509|09/26/2000|03/24/2000|500|A|                                        
NEBRASKANS AGAINST OUTSIDE INFLUENCE (DISSOLVED)|99BQC00058|01/29/2002|11/06/2001|15|C|RETURN MAIL FROM UNION BANK OCT/NOV/DEC 
PATRICK LEAHY FOR METRO COLLEGE (DISSOLVED)|99CAC00530|01/07/2005|11/06/2004|122.07|O|RETURN OF STAKE'S NOT USED TO LOWE'S    
PATRICK LEAHY FOR METRO COLLEGE (DISSOLVED)|99CAC00530|02/02/2007|04/02/2007|180.65|A|dissolution of funds to commmittee's con
CITIZENS FOR QUALITY GROWTH (DISSOLVED)|99BQC00060|04/09/2001|03/20/2001|100|C|VOID CK TO CITY CLERK FOR SIGN PERMITS  
JON CARLSON FOR CITY COUNCIL|99CAC00545|01/27/2016|09/01/2015|5|O|CHECKING ACCOUNT FEE
JON CARLSON FOR CITY COUNCIL|99CAC00545|01/27/2016|06/01/2015|5|O|CHECKING ACCOUNT FEE
JON CARLSON FOR CITY COUNCIL|99CAC00545|01/27/2016|03/01/2015|5|O|CHECKING ACCOUNT FEE
JON CARLSON FOR CITY COUNCIL|99CAC00545|02/02/2015|04/16/2014|20|A|DEPOSIT TO CHECKING
JON CARLSON FOR CITY COUNCIL|99CAC00545|02/02/2015|04/15/2014|-5|A|DORMANT CHECKING ACCOUNT FEE
JON CARLSON FOR CITY COUNCIL|99CAC00545|02/02/2015|03/15/2014|-5|A|DORMANT CHECKING ACCOUNT FEE
JON CARLSON FOR CITY COUNCIL|99CAC00545|02/02/2015|02/15/2014|-5|A|DORMANT CHECKING ACCOUNT FEE
THE COMMITTEE TO ELECT CHUCK SIGERSON|99CAC00547|01/30/2012|12/14/2011|81099.11|O|cash in certificates of deposit
THE COMMITTEE TO ELECT CHUCK SIGERSON|99CAC00547|01/12/2005|02/27/2004|-30532.92|C|DEPOSITED INTO TWO CERTIFICATES OF DEPOS
THE COMMITTEE TO ELECT CHUCK SIGERSON|99CAC00547|02/03/2004|01/10/2003|14156.56|C|THIS AMOUNT WAS DEPOSITED INTO A C.D.   
THE COMMITTEE TO ELECT CHUCK SIGERSON|99CAC00547|01/30/2003|12/31/2002|144.89|O|INTEREST ON CD ADDED BACK TO PRINCIPAL  
THE COMMITTEE TO ELECT CHUCK SIGERSON|99CAC00547|02/04/2002|07/02/2001|6000|O|TRANSFER FROM CHECKING TO CD            
THE COMMITTEE TO ELECT CHUCK SIGERSON|99CAC00547|01/29/2008|12/31/2007|1384.7|O|interest income to cd
THE COMMITTEE TO ELECT CHUCK SIGERSON|99CAC00547|01/29/2008|12/21/2007|31105.22|O|transfer to cd
THE COMMITTEE TO ELECT CHUCK SIGERSON|99CAC00547|01/29/2008|05/17/2007|35000|O|transfer to cd
THE COMMITTEE TO ELECT CHUCK SIGERSON|99CAC00547|01/23/2006|06/13/2005|8000|A|CD PURCHASED FOR $8000
THE COMMITTEE TO ELECT CHUCK SIGERSON|99CAC00547|03/05/2005|02/28/2005|30209.9|A|CASHED IN CERTIFICATE OF DEPOSIT
THE COMMITTEE TO ELECT CHUCK SIGERSON|99CAC00547|03/05/2005|02/16/2005|20600.43|A|CASHED IN CERTIFICATE OF DEPOSIT
LANGDON FOR CITY COUNCIL|99CAC00549|12/18/2001|05/11/2001|650.99|C|CARRY FORWARD ERR FROM 03-20-01 TO 05-08
LANGDON FOR CITY COUNCIL|99CAC00549|05/14/2001|05/11/2001|100|C|ERROR ON SUMMARY OF RECEIPTS            
LANGDON FOR CITY COUNCIL|99CAC00549|05/14/2001|05/11/2001|750|C|ERROR ON SUMMARY OF RECEIPTS            
SIVICK FOR CITY COUNCIL|99CAC00550|05/08/2001|04/09/2001|506.53|C|REFUND FROM GOODKIND & GOODKIND         
CITIZENS FOR GERNANDT|99CAC00552|01/30/2017|12/31/2016|5.36|A|Interest from FN Bank
CITIZENS FOR GERNANDT|99CAC00552|06/05/2017|05/25/2017|-9.06|A|total of 2017 fees from fn bank
CITIZENS FOR GERNANDT|99CAC00552|02/01/2016|12/31/2015|5.98|A|TOTAL OF 2015 MONTHLY INTEREST fr FNBank
CITIZENS FOR GERNANDT|99CAC00552|02/02/2015|12/31/2014|5.3|A|interest from account
CITIZENS FOR GERNANDT|99CAC00552|05/06/2013|03/29/2013|.85|A|monthly interest for first national bank
CITIZENS FOR GERNANDT|99CAC00552|01/30/2013|07/02/2012|300|A|refund for storage of stage
CITIZENS FOR GERNANDT|99CAC00552|03/26/2013|02/28/2013|.78|A|monthly interest
CITIZENS FOR GERNANDT|99CAC00552|02/02/2015|01/06/2014|249|A|check returned
CITIZENS FOR GERNANDT|99CAC00552|06/24/2013|04/30/2013|.9|A|monthly interest for april
CITIZENS FOR GERNANDT|99CAC00552|01/30/2013|12/31/2012|10.44|A|total of 2012 monthly interest from fn b
CITIZENS FOR GERNANDT|99CAC00552|01/30/2014|12/31/2013|4.42|A|total monthly interest for this period
CITIZENS FOR GERNANDT|99CAC00552|06/24/2013|05/31/2013|1.15|A|monthly interest for may
CITIZENS FOR GERNANDT|99CAC00552|03/26/2013|03/04/2013|9.34|A|pay pal test transfer
CITIZENS FOR GERNANDT|99CAC00552|03/05/2013|01/31/2013|.83|A|monthly interest
CITIZENS FOR GERNANDT|99CAC00552|01/26/2012|12/31/2011|4.38|A|total of interest from fn bank
CITIZENS FOR GERNANDT|99CAC00552|01/26/2012|07/05/2011|300|A|return check #1734
CITIZENS FOR GERNANDT|99CAC00552|01/31/2003|12/31/2002|-63.2|C|MATH ERROR                              
CITIZENS FOR GERNANDT|99CAC00552|01/31/2003|12/31/2002|-15.13|C|BANK FEES & SERVICE CHARGES             
CITIZENS FOR GERNANDT|99CAC00552|01/31/2003|12/29/2002|-150|A|OUTSTANDING CHECKS                      
CITIZENS FOR GERNANDT|99CAC00552|06/26/2001|05/21/2001|226.72|C|REFUND FROM DCM                         
CITIZENS FOR GERNANDT|99CAC00552|06/26/2001|05/01/2001|-100|C|RETURNED CHECK                          
CITIZENS FOR GERNANDT|99CAC00552|03/26/2001|02/28/2001|10|C|BANK EARNINGS CREDIT                    
CITIZENS FOR GERNANDT|99CAC00552|03/26/2001|02/28/2001|2.55|C|BANK FEE                                
CITIZENS FOR GERNANDT|99CAC00552|03/26/2001|02/28/2001|50|C|RETURN CHECK                            
CITIZENS FOR GERNANDT|99CAC00552|03/30/2009|03/15/2009|50|A|OCCC (outstanding check)
CITIZENS FOR GERNANDT|99CAC00552|03/30/2009|03/04/2009|12|A|cleared br neighbor association
CITIZENS FOR GERNANDT|99CAC00552|03/30/2009|03/05/2009|8918.45|A|cleared design 4 campaign signs
CITIZENS FOR GERNANDT|99CAC00552|01/31/2008|12/31/2007|1000|A|outstanding check truman dinner
CITIZENS FOR GERNANDT|99CAC00552|01/31/2008|12/31/2007|25|A|outstanding check nordquist for legislat
CITIZENS FOR GERNANDT|99CAC00552|01/31/2008|12/31/2007|51.15|A|outstanding check mathew bender & co
CITIZENS FOR GERNANDT|99CAC00552|01/31/2008|12/31/2007|75|A|outstanding check south omaha optimist c
CITIZENS FOR GERNANDT|99CAC00552|01/31/2008|12/31/2007|25|A|outstanding check st. peter & paul churc
CITIZENS FOR GERNANDT|99CAC00552|01/31/2008|12/31/2007|20|A|outstanding check q street merchants
CITIZENS FOR GERNANDT|99CAC00552|05/05/2009|03/24/2009|50|A|occc(outstanding check)
CITIZENS FOR GERNANDT|99CAC00552|03/30/2009|03/13/2009|73|A|clearedhdz annual dues
CITIZENS FOR GERNANDT|99CAC00552|03/30/2009|03/06/2009|500|A|clearedjessica r campaign mgr fees
CITIZENS FOR GERNANDT|99CAC00552|01/31/2011|03/31/2010|50|A|Return Check #1664
CITIZENS FOR GERNANDT|99CAC00552|03/12/2009|03/02/2009|8918.45|A|Design 4 Campaign signs
CITIZENS FOR GERNANDT|99CAC00552|03/12/2009|03/03/2009|73|A|HDZ annual dues
CITIZENS FOR GERNANDT|99CAC00552|03/12/2009|03/02/2009|500|A|Jessica R; Campaign Mgr fees
CITIZENS FOR GERNANDT|99CAC00552|03/12/2009|02/26/2009|12|A|BR Neighbor Association
CITIZENS FOR GERNANDT|99CAC00552|01/27/2009|12/24/2008|40|A|Check # 1569
CITIZENS FOR GERNANDT|99CAC00552|01/27/2009|11/10/2008|20|A|Check #1555
CITIZENS FOR GERNANDT|99CAC00552|01/28/2010|12/21/2009|55.09|A|Outstanding ck 
CITIZENS FOR GERNANDT|99CAC00552|01/28/2010|11/23/2009|10|A|Outstanding ck 
CITIZENS FOR GERNANDT|99CAC00552|01/28/2010|09/02/2009|25|A|Outstanding ck 
CITIZENS FOR GERNANDT|99CAC00552|01/29/2007|12/31/2006|49.12|A|outstanding check
CITIZENS FOR GERNANDT|99CAC00552|01/29/2007|12/31/2006|35.92|A|outstanding check
GALE FOR SECRETARY OF STATE|99CAC00553|01/31/2019|03/01/2018|214|A|transfer to checking
GALE FOR SECRETARY OF STATE|99CAC00553|01/31/2019|12/31/2018|-15.93|A|transfer to savings
GALE FOR SECRETARY OF STATE|99CAC00553|01/31/2017|09/12/2017|400|A|TRANSFER TO CHECKING
GALE FOR SECRETARY OF STATE|99CAC00553|01/31/2017|09/27/2017|1500|A|TRANSFER TO CHECKING
GALE FOR SECRETARY OF STATE|99CAC00553|01/31/2017|03/01/2017|198|A|TRANSFER TO CHECKING
GALE FOR SECRETARY OF STATE|99CAC00553|01/30/2017|12/31/2016|3.29|A|transfer to savings
GALE FOR SECRETARY OF STATE|99CAC00553|01/31/2017|12/31/2017|-4.28|A|TRANSFER TO SAVINGS
GALE FOR SECRETARY OF STATE|99CAC00553|02/01/2016|12/31/2015|-3.36|A|transfer to savings
GALE FOR SECRETARY OF STATE|99CAC00553|02/01/2016|08/10/2015|375|A|purchase computer equipment
GALE FOR SECRETARY OF STATE|99CAC00553|02/01/2016|06/15/2015|361|A|insurance refund
GALE FOR SECRETARY OF STATE|99CAC00553|01/16/2015|12/31/2014|-2.38|A|transfer to savings
GALE FOR SECRETARY OF STATE|99CAC00553|01/16/2015|11/12/2014|1500|A|transfer to checking
GALE FOR SECRETARY OF STATE|99CAC00553|01/31/2014|05/22/2013|10016.22|A|transfer to savings
GALE FOR SECRETARY OF STATE|99CAC00553|01/30/2013|02/29/2012|17.54|A|Cell Phone Refund - Verizon
GALE FOR SECRETARY OF STATE|99CAC00553|01/30/2013|12/31/2012|-6|A|Transfer to Savings
GALE FOR SECRETARY OF STATE|99CAC00553|01/30/2013|02/29/2012|300|A|Transfer to Checking
GALE FOR SECRETARY OF STATE|99CAC00553|01/16/2015|11/17/2014|500|A|transfer to checking
GALE FOR SECRETARY OF STATE|99CAC00553|10/03/2014|06/30/2014|-7.46|A|transfer to savings
GALE FOR SECRETARY OF STATE|99CAC00553|04/14/2014|02/28/2014|100|A|adj for 2-50.00 outstanding checks
GALE FOR SECRETARY OF STATE|99CAC00553|01/16/2015|12/03/2014|6000|A|transfer to checking
GALE FOR SECRETARY OF STATE|99CAC00553|01/16/2015|11/26/2014|200|A|transfer to checking
GALE FOR SECRETARY OF STATE|99CAC00553|01/16/2015|10/31/2014|-1.88|A|transfer to savings
GALE FOR SECRETARY OF STATE|99CAC00553|04/14/2014|04/08/2014|-5.46|A|transfer to savings
GALE FOR SECRETARY OF STATE|99CAC00553|01/30/2013|01/31/2012|500|A|Transfer to Checking 
GALE FOR SECRETARY OF STATE|99CAC00553|02/03/2012|12/31/2011|-14.33|A|transfer to savings
GALE FOR SECRETARY OF STATE|99CAC00553|02/03/2012|12/09/2011|1300|A|transfer to checking
GALE FOR SECRETARY OF STATE|99CAC00553|02/03/2012|03/30/2011|3000|A|transfer to checking
GALE FOR SECRETARY OF STATE|99CAC00553|02/03/2012|02/28/2011|80.06|A|telephone refund - verizon
GALE FOR SECRETARY OF STATE|99CAC00553|02/03/2012|02/28/2011|1192.52|A|advertising refund - radio media
GALE FOR SECRETARY OF STATE|99CAC00553|02/03/2012|01/31/2011|2500|A|transfer to checking
GALE FOR SECRETARY OF STATE|99CAC00553|01/21/2005|12/31/2004|20.61|O|TRANSFER SAVINGS                        
GALE FOR SECRETARY OF STATE|99CAC00553|01/21/2005|03/03/2004|8000|O|TRANSFER SAVINGS                        
GALE FOR SECRETARY OF STATE|99CAC00553|01/08/2003|12/31/2002|1888.47|O|TRANSFER FROM SAVINGS                   
GALE FOR SECRETARY OF STATE|99CAC00553|01/08/2003|12/01/2002|-24.36|O|TRANSFER TO SAVINGS                     
GALE FOR SECRETARY OF STATE|99CAC00553|10/24/2002|10/09/2002|-500|O|TRANSFER TO SAVINGS                     
GALE FOR SECRETARY OF STATE|99CAC00553|10/24/2002|10/16/2002|3000|O|TRANSFER FROM SAVINGS                   
GALE FOR SECRETARY OF STATE|99CAC00553|10/24/2002|10/10/2002|4000|O|TRANSFER FROM SAVINGS                   
GALE FOR SECRETARY OF STATE|99CAC00553|10/24/2002|10/07/2002|8000|O|TRANSFER FROM SAVINGS                   
GALE FOR SECRETARY OF STATE|99CAC00553|06/21/2002|04/13/2002|77.1|C|TRANSFER TO SAVINGS                     
GALE FOR SECRETARY OF STATE|99CAC00553|05/02/2002|04/13/2002|1133.72|C|TRANSFER FROM SAVINGS                   
GALE FOR SECRETARY OF STATE|99CAC00553|04/11/2002|01/15/2002|15776.85|C|TRANSFER FROM SAVINGS                   
GALE FOR SECRETARY OF STATE|99CAC00553|02/01/2002|12/31/2001|31504|C|TRANSFER TO SAVINGS                     
GALE FOR SECRETARY OF STATE|99CAC00553|01/31/2002|06/30/2001|7723|C|TRANSFER TO SAVINGS                     
GALE FOR SECRETARY OF STATE|99CAC00553|04/12/2010|02/02/2010|206|A|reimburse campaign overpayment
GALE FOR SECRETARY OF STATE|99CAC00553|01/30/2010|12/31/2009|5.18|A|transfer to savings
GALE FOR SECRETARY OF STATE|99CAC00553|01/11/2008|03/30/2007|26.96|O|Refund from Windstream exp 2007
GALE FOR SECRETARY OF STATE|99CAC00553|01/11/2008|01/03/2007|352|O|Refund from Continental Insur., exp 2006
GALE FOR SECRETARY OF STATE|99CAC00553|01/11/2008|12/31/2007|-53.6|O|Interest income deposited in savings acc
GALE FOR SECRETARY OF STATE|99CAC00553|01/16/2007|12/31/2006|17.59|A|INTEREST
GALE FOR SECRETARY OF STATE|99CAC00553|01/27/2006|09/06/2005|8700|O|TRANSFER TO SAVINGS
GALE FOR SECRETARY OF STATE|99CAC00553|06/21/2010|05/28/2010|-20.62|A|Transfer to savings
GALE FOR SECRETARY OF STATE|99CAC00553|06/21/2010|04/30/2010|-21.72|A|Transfer to savings
GALE FOR SECRETARY OF STATE|99CAC00553|04/12/2010|01/29/2010|-40000|A|transfer to savings
GALE FOR SECRETARY OF STATE|99CAC00553|04/12/2010|04/06/2010|-23.8|A|transfer to savings
GALE FOR SECRETARY OF STATE|99CAC00553|04/12/2010|04/01/2010|-22000|A|transfer to savings
GALE FOR SECRETARY OF STATE|99CAC00553|10/27/2006|10/16/2006|192.6|O|VOIDED CHECK
GALE FOR SECRETARY OF STATE|99CAC00553|01/11/2011|12/08/2010|187|A|overpayment of insurance
GALE FOR SECRETARY OF STATE|99CAC00553|01/11/2011|12/06/2010|270.58|A|canceled insurance, reimb. premium
GALE FOR SECRETARY OF STATE|99CAC00553|01/11/2011|12/31/2010|-2.09|A|transfer to savings
GALE FOR SECRETARY OF STATE|99CAC00553|01/11/2011|11/30/2010|-2.16|A|transfer to savings
GALE FOR SECRETARY OF STATE|99CAC00553|01/11/2011|10/29/2010|-1.95|A|transfer to savings
GALE FOR SECRETARY OF STATE|99CAC00553|10/26/2010|09/30/2010|-17.04|A|Transfer to Savings
GALE FOR SECRETARY OF STATE|99CAC00553|10/04/2010|09/24/2010|55000|A|Transfer to checking
GALE FOR SECRETARY OF STATE|99CAC00553|10/04/2010|08/31/2010|-20.64|A|Transfer to Savings
GALE FOR SECRETARY OF STATE|99CAC00553|10/04/2010|07/30/2010|-20.72|A|Transfer to Savings
GALE FOR SECRETARY OF STATE|99CAC00553|10/04/2010|06/30/2010|-24.31|A|Transfer to Savings
GALE FOR SECRETARY OF STATE|99CAC00553|04/12/2010|01/11/2010|.36|A|paypal verify
GALE FOR SECRETARY OF STATE|99CAC00553|01/29/2010|06/30/2009|5.5|A|transfer to savings
GALE FOR SECRETARY OF STATE|99CAC00553|10/10/2006|09/25/2006|9068.86|O|TRANSFER FROM SAVING TO CHECKING
GALE FOR SECRETARY OF STATE|99CAC00553|10/10/2006|10/03/2006|210.77|O|INTEREST EARNED IN SAVINGS
GALE FOR SECRETARY OF STATE|99CAC00553|10/10/2006|09/25/2006|26567.33|O|TRANSFER FROM SAVINGS TO CHECKING
GALE FOR SECRETARY OF STATE|99CAC00553|01/29/2009|12/31/2008|-22.38|O|Interest Income deposited in savings acc
GALE FOR SECRETARY OF STATE|99CAC00553|06/19/2006|05/10/2006|1.74|O|INTEREST EARNED IN SAVINGS
GALE FOR SECRETARY OF STATE|99CAC00553|06/19/2006|05/31/2006|40.99|O|INTEREST EARNED IN SAVINGS
GALE FOR SECRETARY OF STATE|99CAC00553|06/19/2006|04/28/2006|24.03|O|INTEREST EARNED IN SAVINGS
GALE FOR SECRETARY OF STATE|99CAC00553|06/19/2006|05/17/2006|11000|O|TRANSFER TO SAVINGS
GALE FOR SECRETARY OF STATE|99CAC00553|05/02/2006|04/24/2006|2.17|O|TRANSFER TO SAVINGS
GALE FOR SECRETARY OF STATE|99CAC00553|04/10/2006|04/01/2006|83.12|O|TRANSFER TO SAVINGS
GALE FOR SECRETARY OF STATE|99CAC00553|03/31/2006|12/13/2005|10000|O|TRANSFER TO SAVINGS
GALE FOR SECRETARY OF STATE|99CAC00553|03/31/2006|12/31/2005|71.09|O|TRANSFER TO SAVINGS
GALE FOR SECRETARY OF STATE|99CAC00553|01/27/2006|05/01/2005|1500|O|TRANSFER TO SAVINGS
GALE FOR SECRETARY OF STATE|99CAC00553|01/27/2006|06/30/2005|16.55|O|TRANSFER TO SAVINGS
DANEK FOR DISTRICT #1|99CAC00557|03/16/2005|01/20/2005|25|O|BANK INCENTIVE FOR NEW CHECKING ACCOUNT
LINCOLN LIAISON COMMITTEE (DISSOLVED 2001)|99BQC00064|05/22/2001|05/22/2001|130.22|C|CASHIERS CHECK TO UNITED WAY            
MAYHEW FOR SCHOOL BOARD|99CAC00560|01/31/2005|12/31/2004|119.4|C|BANK FEES - MONTHLY                     
MAYHEW FOR SCHOOL BOARD|99CAC00560|02/10/2011|01/01/2010|-2.5|O|WELLS FARGO BANK FEE FOR MAY 2009.
MAYHEW FOR SCHOOL BOARD|99CAC00560|02/10/2011|01/01/2010|-100|O|PAYMENT TO CHOCOLATE CAKE FOR INV #1309 - DIRECT MAIL PIECE.
MAYHEW FOR SCHOOL BOARD|99CAC00560|02/10/2011|01/01/2010|-772.26|O|PAYMENT TO RICHTERS BRINKMAN FOR INV #334 FOR MAY 2009.
MAYHEW FOR SCHOOL BOARD|99CAC00560|02/10/2011|01/01/2010|7.5|A|ON MY PREVIOUS FORM I CORRECTLY RECORDED AN EXPENSE AS 471.92 IN SECTION D, BUT THEN I INCORRECTLY WROTE THAT NUMBER AS 479.42 ON SECTION A.  THIS IS AN ADJUSTMENT TO CORRECT THAT ERROR.
MAYHEW FOR SCHOOL BOARD|99CAC00560|02/10/2011|01/01/2010|-450|O|LATE FEE TO NE ACCOUNTABILITY AND DISCLOSURE.
MAYHEW FOR SCHOOL BOARD|99CAC00560|02/10/2011|01/01/2010|-765.54|O|PAYMENT TO RICHTERS BRINKMAN FOR INV #325 FOR APRIL 2009.
MAYHEW FOR SCHOOL BOARD|99CAC00560|02/10/2011|01/01/2010|-165|O|PAYMENT TO CHOCOLATE CAKE FOR INV #1302 - FLYER PHOTO.
BRUNING FOR ATTORNEY GENERAL (NOW GOVERNOR)|99CAC00562|01/31/2012|02/22/2011|171.16|A|refund from windstream
BRUNING FOR ATTORNEY GENERAL (NOW GOVERNOR)|99CAC00562|01/31/2012|04/05/2011|1331.5|A|Refund from Dresner, San Francisco, CA
BRUNING FOR ATTORNEY GENERAL (NOW GOVERNOR)|99CAC00562|01/31/2012|03/07/2011|500|A|Rental Deposit Return from Enterprise Co
BRUNING FOR ATTORNEY GENERAL (NOW GOVERNOR)|99CAC00562|01/09/2002|06/12/2001|72483.68|O|CLOSE BRUNING FOR LEGISLATURE COMM - TRA
BRUNING FOR ATTORNEY GENERAL (NOW GOVERNOR)|99CAC00562|04/12/2010|01/06/2010|337.78|A|Credit from "The Hay Adams"
BRUNING FOR ATTORNEY GENERAL (NOW GOVERNOR)|99CAC00562|01/30/2009|07/23/2008|38.53|A|credit for errroneous account charges
BRUNING FOR ATTORNEY GENERAL (NOW GOVERNOR)|99CAC00562|01/30/2009|03/25/2008|32.09|A|credit for returned items
BRUNING FOR ATTORNEY GENERAL (NOW GOVERNOR)|99CAC00562|01/16/2007|11/03/2006|20000|A|TRANSFER FROM MONEY MARKET TO CHECKING A
BRUNING FOR ATTORNEY GENERAL (NOW GOVERNOR)|99CAC00562|06/19/2006|06/13/2006|196.93|O|INTEREST FROM CHECKING ACCOUNT
BRUNING FOR ATTORNEY GENERAL (NOW GOVERNOR)|99CAC00562|04/12/2010|02/02/2010|95000|A|Redeem Deposit & transfer funds
BRUNING FOR ATTORNEY GENERAL (NOW GOVERNOR)|99CAC00562|04/12/2010|02/01/2010|205.16|A|Credit from "Hertz"
BRUNING FOR ATTORNEY GENERAL (NOW GOVERNOR)|99CAC00562|01/16/2007|12/11/2006|146485.13|A|TRANSFER FROM MONEY MARKET TO CHECKING A
BRUNING FOR ATTORNEY GENERAL (NOW GOVERNOR)|99CAC00562|01/16/2007|11/24/2006|25000|A|TRANSFER FROM MONEY MARKET TO CHECKING A
BRUNING FOR ATTORNEY GENERAL (NOW GOVERNOR)|99CAC00562|01/16/2007|12/31/2006|350.65|A|CHECKING ACCOUNT INTEREST
BRUNING FOR ATTORNEY GENERAL (NOW GOVERNOR)|99CAC00562|01/16/2007|12/31/2006|866.49|A|MONEY MARKET INTEREST
BRUNING FOR ATTORNEY GENERAL (NOW GOVERNOR)|99CAC00562|06/19/2006|06/09/2006|1000|O|NE BANKERS PAC CHECK NOT ACCEPTED, RETUR
BRUNING FOR ATTORNEY GENERAL (NOW GOVERNOR)|99CAC00562|06/19/2006|05/18/2006|-1875.74|A|MONEY MARKET ACCOUNT INTEREST
BRUNING FOR ATTORNEY GENERAL (NOW GOVERNOR)|99CAC00562|01/10/2011|12/03/2010|1100|A|Refund from Marriott Hotel
BRUNING FOR ATTORNEY GENERAL (NOW GOVERNOR)|99CAC00562|01/10/2011|10/21/2010|470.74|A|Refund from The Prairie Club
BRUNING FOR ATTORNEY GENERAL (NOW GOVERNOR)|99CAC00562|10/04/2010|09/09/2010|87.48|A|Reimb. to Bruning committee-expense pd
BRUNING FOR ATTORNEY GENERAL (NOW GOVERNOR)|99CAC00562|10/04/2010|09/13/2010|610.6|A|Credit from Buy.com for returned item
